City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sisimiut,GL,66.9395,-53.6735,26.47,74,22,0.94,few clouds
80,Nanortalik,GL,60.1432,-45.2371,37.49,81,81,3.76,broken clouds
81,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,9.22,few clouds
82,Aban,RU,56.67,96.06,61.11,27,5,6.2,clear sky
83,Byron Bay,AU,-28.65,153.6167,71.71,75,0,2.39,clear sky
84,Paraiso,CR,9.8383,-83.8656,65.41,96,100,1.14,overcast clouds
85,Grindavik,IS,63.8424,-22.4338,48.67,87,75,16.11,broken clouds
86,Matai,TZ,-8.3,31.5167,61.65,71,7,10.0,clear sky
87,Svetlyy,RU,54.675,20.1347,46.45,83,37,19.95,scattered clouds
88,Teya,RU,60.3778,92.6267,64.89,27,29,1.19,scattered clouds
89,Kruisfontein,ZA,-34.0033,24.7314,56.97,57,81,7.27,broken clouds
90,Iqaluit,CA,63.7506,-68.5145,26.33,80,75,8.05,broken clouds
91,Anastacio,BR,-20.4836,-55.8069,68.36,59,5,3.0,clear sky
92,Vicuna,CL,-30.0319,-70.7081,42.53,47,4,0.27,clear sky
93,Paamiut,GL,61.994,-49.6678,32.27,87,92,22.53,overcast clouds
94,Pecos,US,31.4229,-103.4932,85.3,37,0,13.8,clear sky
95,Cedar City,US,37.6775,-113.0619,72.57,16,0,16.11,clear sky
96,Bahia Honda,CU,22.9036,-83.1592,76.51,81,99,1.52,overcast clouds
97,Christchurch,NZ,-43.5333,172.6333,50.95,79,1,3.44,clear sky
98,Bilma,NE,18.6853,12.9164,87.55,10,3,7.74,clear sky
99,Port Alfred,ZA,-33.5906,26.891,62.42,52,41,8.79,scattered clouds
100,Port-Gentil,GA,-0.7193,8.7815,73.36,94,20,3.44,few clouds
101,Verkhnyaya Inta,RU,65.9811,60.3094,63.72,50,44,16.69,scattered clouds
102,Geraldton,AU,-28.7667,114.6,75.61,53,0,12.66,clear sky
103,Luderitz,NA,-26.6481,15.1594,53.96,85,0,6.51,clear sky
104,Villa Bruzual,VE,9.3328,-69.1208,70.65,94,100,2.59,overcast clouds
105,Yoichi,JP,43.2039,140.7703,56.28,87,84,6.22,broken clouds
106,Kawalu,ID,-7.3817,108.2082,88.84,50,47,2.95,scattered clouds
107,Irbeyskoye,RU,55.6428,95.4522,63.1,29,5,6.82,clear sky
108,Pevek,RU,69.7008,170.3133,30.11,80,45,10.11,scattered clouds
109,Yellowknife,CA,62.456,-114.3525,52.32,54,20,3.44,few clouds
110,Nagorsk,RU,59.3172,50.8078,50.65,96,100,7.56,overcast clouds
111,Launceston,AU,-41.45,147.1667,55.15,81,40,6.91,scattered clouds
112,Wichita Falls,US,33.9137,-98.4934,74.25,56,0,14.97,clear sky
113,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,30,0,11.18,clear sky
114,Broome,US,42.2506,-75.833,64.2,95,40,5.75,scattered clouds
115,Korla,CN,41.7597,86.1469,86.67,18,38,5.14,scattered clouds
116,San Patricio,US,28.017,-97.5169,80.49,90,0,7.81,clear sky
117,Ust-Shonosha,RU,61.1531,41.343,46.54,99,100,3.38,overcast clouds
118,Margate,GB,51.3813,1.3862,52.7,75,63,5.99,broken clouds
119,Sorland,NO,67.667,12.6934,44.46,89,100,27.34,overcast clouds
120,Avarua,CK,-21.2078,-159.775,75.25,88,100,4.61,light rain
121,Lavrentiya,RU,65.5833,-171.0,39.06,88,58,1.77,broken clouds
122,Nantucket,US,41.2835,-70.0995,62.74,98,100,17.27,mist
123,Hami,CN,42.8,93.45,89.2,20,76,5.21,broken clouds
124,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,40,12.66,light rain
125,Coihaique,CL,-45.5752,-72.0662,32.61,86,0,3.44,clear sky
126,Honningsvag,NO,70.9821,25.9704,42.55,87,100,19.57,overcast clouds
127,Esperance,AU,-33.8667,121.9,68.65,44,4,11.27,clear sky
128,Kangasala,FI,61.4638,24.076,50.86,94,100,1.14,overcast clouds
129,Castro,BR,-24.7911,-50.0119,60.01,71,48,2.71,scattered clouds
130,Sakakah,SA,29.9697,40.2064,83.77,13,0,10.85,clear sky
131,Qaanaaq,GL,77.484,-69.3632,18.46,93,98,5.82,overcast clouds
132,Aklavik,CA,68.2191,-135.0107,35.67,74,70,9.01,broken clouds
133,Namatanai,PG,-3.6667,152.4333,83.3,73,100,7.14,overcast clouds
134,Sharan,RU,54.8167,54.0,55.94,77,93,16.69,light rain
135,Pisco,PE,-13.7,-76.2167,58.01,88,40,4.61,mist
136,Amatan,MX,17.35,-92.75,70.52,94,100,1.83,overcast clouds
137,Narsaq,GL,60.9167,-46.05,42.82,50,95,6.58,overcast clouds
138,Marzuq,YE,14.4,46.4667,88.36,17,46,2.77,scattered clouds
139,Toshkivka,UA,48.7791,38.579,67.42,57,82,18.01,broken clouds
140,Antofagasta,CL,-23.65,-70.4,58.28,87,57,3.53,broken clouds
141,Illapel,CL,-31.6308,-71.1653,54.32,72,100,1.32,overcast clouds
142,Half Moon Bay,US,37.4636,-122.4286,60.98,86,100,12.66,mist
143,Faanui,PF,-16.4833,-151.75,81.18,64,0,17.45,clear sky
144,Warrington,GB,53.3925,-2.5802,53.71,83,75,8.05,broken clouds
145,Rantoul,US,40.3084,-88.1559,58.73,98,100,0.0,overcast clouds
146,Eureka,US,40.8021,-124.1637,57.67,86,99,1.57,overcast clouds
147,Nome,US,64.5011,-165.4064,39.27,87,100,12.66,overcast clouds
148,Porto Novo,BJ,6.4965,2.6036,78.62,84,95,2.42,overcast clouds
149,Hithadhoo,MV,-0.6,73.0833,83.93,70,74,8.9,broken clouds
150,Bubaque,GW,11.2833,-15.8333,78.98,79,100,5.21,overcast clouds
151,Avallon,FR,47.4833,3.9,50.38,83,47,5.14,scattered clouds
152,Longyearbyen,SJ,78.2186,15.6401,39.79,76,80,3.98,broken clouds
153,Sinnamary,GF,5.3833,-52.95,76.95,84,13,7.54,few clouds
154,Rocha,UY,-34.4833,-54.3333,45.23,90,11,3.65,few clouds
155,Turukhansk,RU,65.8167,87.9833,63.41,31,86,6.2,overcast clouds
156,Egvekinot,RU,66.3167,-179.1667,40.33,74,95,4.54,overcast clouds
157,Kavaratti,IN,10.5669,72.642,82.8,71,64,2.91,broken clouds
158,Faya,SA,18.3851,42.4509,75.31,19,3,7.0,clear sky
159,Kirakira,SB,-10.4544,161.9205,81.21,80,38,5.97,scattered clouds
160,Omboue,GA,-1.5746,9.2618,72.36,91,34,4.61,scattered clouds
161,Sibolga,ID,1.7427,98.7792,84.49,67,77,5.46,broken clouds
162,Mpika,ZM,-11.8343,31.4529,58.68,62,5,9.33,clear sky
163,Gornyak,RU,50.9942,81.4661,83.17,36,48,8.86,scattered clouds
164,Dingle,PH,10.9995,122.6711,87.44,62,100,13.71,overcast clouds
165,Malartic,CA,48.1335,-78.1328,50.11,96,99,5.68,overcast clouds
166,Krasnoselkup,RU,65.7,82.4667,64.08,37,63,8.21,broken clouds
167,Nouakchott,MR,18.0858,-15.9785,69.73,84,17,5.21,few clouds
168,Boueni,YT,-12.9025,45.0761,82.38,70,20,10.92,few clouds
169,Ketchikan,US,55.3422,-131.6461,50.47,93,100,3.44,overcast clouds
170,Saint George,US,37.1041,-113.5841,84.79,15,0,10.36,clear sky
171,Lompoc,US,34.6391,-120.4579,58.01,81,0,18.01,clear sky
172,Balkanabat,TM,39.5108,54.3671,79.7,22,0,12.28,clear sky
173,Tete,MZ,-16.1564,33.5867,66.29,88,40,2.3,scattered clouds
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,50.07,89,55,6.35,broken clouds
175,Chapais,CA,49.7834,-74.8492,49.78,96,100,7.09,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,55.45,91,1,6.15,clear sky
177,Talnakh,RU,69.4865,88.3972,45.21,100,100,4.16,overcast clouds
178,Coquimbo,CL,-29.9533,-71.3436,49.73,100,100,3.44,mist
179,Ceres,US,37.5949,-120.9577,66.79,58,0,14.97,clear sky
180,Ginda,IN,30.6945,78.4932,82.99,30,4,7.02,clear sky
181,Berlevag,NO,70.8578,29.0864,42.75,87,100,16.11,overcast clouds
182,Haines Junction,CA,60.7522,-137.5108,49.95,66,48,5.75,scattered clouds
183,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,53,12.57,light rain
184,Muros,ES,42.7762,-9.0603,63.84,67,32,8.59,scattered clouds
185,Zyryanka,RU,65.75,150.85,54.72,36,23,3.2,few clouds
186,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,20.71,broken clouds
187,Ocampo,MX,21.65,-101.5,55.9,74,3,8.19,clear sky
188,Tura,IN,25.5198,90.2201,87.3,55,7,3.74,clear sky
189,Narimanov,RU,46.6927,47.8498,73.31,40,0,8.12,clear sky
190,Port Blair,IN,11.6667,92.75,86.04,79,75,12.66,mist
191,Preston,GB,53.7667,-2.7167,53.58,89,29,4.23,scattered clouds
192,Vrangel,RU,42.7297,133.0839,57.67,73,44,11.32,scattered clouds
193,Khandyga,RU,62.6667,135.6,60.31,37,100,5.37,overcast clouds
194,Nikolskoye,RU,59.7035,30.7861,52.88,89,100,2.51,light rain
195,Bethel,US,41.3712,-73.414,66.29,92,100,4.61,heavy intensity rain
196,Carutapera,BR,-1.195,-46.02,73.18,94,75,2.37,broken clouds
197,Dikson,RU,73.5069,80.5464,31.68,82,14,4.52,few clouds
198,Clearwater,US,27.9659,-82.8001,78.98,80,40,5.75,scattered clouds
199,Asau,RO,46.4333,26.4,59.95,60,36,2.28,scattered clouds
200,Thompson,CA,55.7435,-97.8558,30.36,93,20,2.3,few clouds
201,Nong Chik,TH,6.8436,101.178,89.44,58,99,16.08,overcast clouds
202,Altamont,US,42.2068,-121.7372,48.88,70,75,4.0,broken clouds
203,Kama,RU,56.3051,54.0936,51.01,93,100,11.43,overcast clouds
204,Dehloran,IR,32.6941,47.2679,92.03,9,0,5.55,clear sky
205,Provideniya,RU,64.3833,-173.3,43.39,75,88,8.03,overcast clouds
206,Amga,RU,60.8953,131.9608,68.81,40,83,9.33,broken clouds
207,Mahdalynivka,UA,48.921,34.9156,59.7,73,75,9.4,broken clouds
208,Hovd,MN,48.0056,91.6419,64.47,39,22,8.88,few clouds
209,Enshi,CN,30.3,109.4833,66.79,95,100,1.25,overcast clouds
210,Naco,MX,31.3347,-109.9483,75.29,14,0,6.51,clear sky
211,Tuatapere,NZ,-46.1333,167.6833,51.42,81,100,4.47,overcast clouds
212,Kapit,MY,2.0167,112.9333,95.72,39,63,3.09,broken clouds
213,Kyra,RU,49.5776,111.9753,60.42,18,100,11.25,overcast clouds
214,Dudinka,RU,69.4058,86.1778,45.63,83,81,14.09,broken clouds
215,Valmiera,LV,57.5411,25.4275,50.41,70,59,10.42,broken clouds
216,Ray,IN,23.6833,85.05,86.77,20,31,15.35,scattered clouds
217,Paducah,US,37.0834,-88.6001,61.39,91,0,0.0,clear sky
218,Tapejara,BR,-28.0681,-52.0139,58.55,99,100,3.65,light rain
219,Avera,US,33.194,-82.5271,69.31,71,81,7.25,broken clouds
220,Cururupu,BR,-1.8283,-44.8683,71.62,97,69,1.25,broken clouds
221,Mahebourg,MU,-20.4081,57.7,80.26,69,40,12.66,scattered clouds
222,Mar Del Plata,AR,-38.0023,-57.5575,43.09,90,0,4.61,clear sky
223,Tateyama,JP,34.9833,139.8667,72.09,69,37,9.35,scattered clouds
224,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,17.27,overcast clouds
225,Chumikan,RU,54.7183,135.315,33.15,98,100,19.84,snow
226,Wageningen,NL,51.9667,5.6667,55.06,78,24,8.05,few clouds
227,Tevaitoa,PF,-16.7833,-151.5,80.96,64,0,17.36,clear sky
228,Leshukonskoye,RU,64.8989,45.7622,57.06,53,99,8.97,overcast clouds
229,Kirgiz-Miyaki,RU,53.6324,54.7979,54.03,80,90,14.36,overcast clouds
230,Quatre Cocos,MU,-20.2078,57.7625,80.1,69,5,12.91,clear sky
231,Sur,OM,22.5667,59.5289,96.55,36,0,0.54,clear sky
232,Mehamn,NO,71.0357,27.8492,42.71,97,100,22.57,overcast clouds
233,Klaksvik,FO,62.2266,-6.589,43.72,78,98,23.09,overcast clouds
234,Denpasar,ID,-8.65,115.2167,85.66,79,40,8.05,scattered clouds
235,Guerrero Negro,MX,27.9769,-114.0611,60.75,84,0,15.08,clear sky
236,Luis Correia,BR,-2.8792,-41.6669,73.85,90,14,4.72,few clouds
237,Touros,BR,-5.1989,-35.4608,74.82,93,100,7.65,moderate rain
238,Mildura,AU,-34.2,142.15,59.07,65,10,9.48,clear sky
239,Puerto Cabezas,NI,14.0351,-83.3888,76.37,91,46,6.62,scattered clouds
240,Bonthe,SL,7.5264,-12.505,76.6,89,99,3.31,overcast clouds
241,Necochea,AR,-38.5473,-58.7368,42.39,78,92,7.63,overcast clouds
242,Awbari,LY,26.5921,12.7805,80.85,16,25,12.88,scattered clouds
243,Huarmey,PE,-10.0681,-78.1522,62.71,87,41,6.51,scattered clouds
244,Petrozavodsk,RU,61.7849,34.3469,49.48,81,40,2.24,scattered clouds
245,Vostok,RU,46.4856,135.8833,63.21,55,85,4.38,overcast clouds
246,Inuvik,CA,68.3499,-133.7218,32.86,64,40,12.66,scattered clouds
247,Novo Oriente,BR,-5.5344,-40.7742,68.67,83,8,4.59,clear sky
248,Toora-Khem,RU,52.4675,96.11,65.79,20,6,6.38,clear sky
249,Sabya,SA,17.1495,42.6254,91.02,47,0,5.79,clear sky
250,Ewa Beach,US,21.3156,-158.0072,78.75,69,0,12.66,clear sky
251,Nautla,MX,20.2167,-96.7833,78.1,85,56,4.43,broken clouds
252,Timra,SE,62.487,17.3257,49.68,76,100,11.5,overcast clouds
253,Camalu,MX,30.85,-116.0667,62.89,91,17,6.87,few clouds
254,Chokurdakh,RU,70.6333,147.9167,35.73,70,100,8.66,overcast clouds
255,Uusikaupunki,FI,60.8004,21.4084,47.17,92,100,3.47,overcast clouds
256,Husavik,IS,66.0449,-17.3389,41.9,79,2,8.08,clear sky
257,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,82,100,2.3,overcast clouds
258,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,92,100,7.16,overcast clouds
259,Ciparay,ID,-7.4249,108.4742,92.37,50,52,2.59,broken clouds
260,Taoudenni,ML,22.6783,-3.9836,92.53,19,72,7.58,broken clouds
261,Mocuba,MZ,-16.8392,36.9856,68.56,82,53,3.33,broken clouds
